,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
36,Oct,2,Tuesday,Honda,Urban,Thursday,Oct,3,Male,Married,30.0,Third Party,Sedan,20000 to 29000,0,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
37,Sep,2,Friday,Mazda,Urban,Friday,Sep,3,Male,Single,27.0,Policy Holder,Sedan,30000 to 39000,0,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
38,Nov,4,Tuesday,Honda,Urban,Thursday,Nov,4,Male,Married,55.0,Policy Holder,Sport,more than 69000,0,12,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
39,Nov,4,Thursday,Toyota,Urban,Tuesday,Jan,1,Male,Married,35.0,Policy Holder,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
40,Mar,4,Wednesday,Chevrolet,Urban,Wednesday,Apr,1,Female,Married,35.0,Policy Holder,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
41,Mar,3,Friday,Pontiac,Urban,Wednesday,Mar,4,Male,Married,44.0,Policy Holder,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,1994,All Perils
42,Jul,1,Monday,Toyota,Urban,Monday,Jul,1,Female,Single,42.0,Policy Holder,Sport,20000 to 29000,0,12,400,4,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
43,Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Married,41.0,Policy Holder,Sedan,20000 to 29000,0,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
44,Jan,3,Wednesday,Toyota,Urban,Wednesday,Jan,4,Male,Married,72.0,Third Party,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
45,Feb,2,Wednesday,Pontiac,Urban,Thursday,Feb,2,Female,Married,29.0,Third Party,Sedan,less than 20000,0,8,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
46,Feb,2,Thursday,Pontiac,Urban,Monday,Feb,3,Male,Single,32.0,Third Party,Sedan,30000 to 39000,0,9,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision
47,Nov,4,Thursday,Mazda,Urban,Friday,Nov,4,Male,Married,37.0,Policy Holder,Sport,30000 to 39000,0,13,400,3,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
48,Apr,3,Thursday,Chevrolet,Urban,Thursday,May,1,Female,Married,37.0,Policy Holder,Sport,more than 69000,0,10,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
49,Apr,3,Friday,Pontiac,Urban,Tuesday,Apr,3,Male,Married,59.0,Policy Holder,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
50,May,4,Friday,Pontiac,Urban,Friday,May,4,Male,Married,49.0,Policy Holder,Sport,30000 to 39000,0,14,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
51,Jun,4,Wednesday,Pontiac,Urban,Friday,Jun,4,Male,Married,27.0,Policy Holder,Sport,20000 to 29000,0,4,500,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Liability
52,Jul,3,Sunday,Honda,Rural,Wednesday,Jan,4,Male,Married,21.0,Policy Holder,Sport,more than 69000,1,4,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
53,Jul,4,Saturday,Honda,Urban,Wednesday,Aug,2,Male,Married,50.0,Policy Holder,Sedan,20000 to 29000,1,13,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
54,Jun,4,Tuesday,Pontiac,Urban,Tuesday,Jun,4,Male,Single,45.0,Policy Holder,Sedan,30000 to 39000,0,8,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
55,Dec,3,Monday,Mazda,Urban,Wednesday,Dec,3,Male,Married,49.0,Third Party,Sedan,20000 to 29000,0,7,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
56,Jun,4,Friday,Honda,Urban,Thursday,Jun,5,Male,Single,30.0,Policy Holder,Sedan,20000 to 29000,0,5,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
57,Nov,2,Friday,Accura,Urban,Monday,Nov,2,Male,Single,37.0,Policy Holder,Sedan,more than 69000,0,11,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
58,May,1,Monday,Honda,Rural,Wednesday,May,4,Male,Single,44.0,Policy Holder,Sport,more than 69000,0,15,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
59,May,1,Wednesday,Chevrolet,Urban,Monday,May,2,Female,Single,27.0,Policy Holder,Sedan,20000 to 29000,0,4,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
60,Nov,1,Monday,Toyota,Urban,Monday,Nov,3,Male,Single,30.0,Policy Holder,Sedan,30000 to 39000,0,5,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
61,Sep,2,Tuesday,Pontiac,Urban,Friday,Jan,4,Male,Married,49.0,Policy Holder,Utility,40000 to 59000,0,6,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
62,Nov,4,Sunday,Honda,Urban,Friday,Jan,3,Male,Single,38.0,Third Party,Sedan,more than 69000,0,3,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
63,Feb,5,Monday,Toyota,Urban,Tuesday,Mar,1,Male,Married,26.0,Policy Holder,Sport,20000 to 29000,0,13,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability
64,Dec,1,Friday,Pontiac,Urban,Tuesday,Dec,2,Male,Single,48.0,Policy Holder,Sedan,20000 to 29000,0,1,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
65,Dec,4,Friday,Mazda,Urban,Monday,Jan,2,Male,Single,31.0,Policy Holder,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
66,Mar,3,Friday,Mercury,Urban,Friday,Mar,3,Male,Single,40.0,Third Party,Sedan,more than 69000,0,16,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
67,Aug,4,Thursday,Mazda,Urban,Monday,Aug,5,Male,Married,65.0,Policy Holder,Sport,30000 to 39000,0,12,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
68,Jan,1,Sunday,Toyota,Urban,Tuesday,Jan,1,Male,Married,64.0,Policy Holder,Sedan,20000 to 29000,0,5,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
69,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Married,55.0,Policy Holder,Sport,20000 to 29000,0,12,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
70,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Single,44.0,Policy Holder,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
71,Jan,1,Tuesday,Mazda,Urban,Thursday,Jan,1,Male,Married,27.0,Policy Holder,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
72,Sep,4,Thursday,Chevrolet,Urban,Monday,Jan,5,Female,Single,28.0,Third Party,Sedan,20000 to 29000,0,5,400,3,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
73,Jan,1,Monday,Honda,Urban,Tuesday,Jan,1,Male,Married,47.0,Third Party,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
74,Apr,5,Saturday,Mazda,Urban,Tuesday,May,1,Male,Married,60.0,Third Party,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
75,Aug,1,Saturday,Ford,Urban,Wednesday,Aug,4,Male,Married,33.0,Third Party,Sedan,30000 to 39000,0,9,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
76,Oct,4,Tuesday,Chevrolet,Urban,Monday,Jan,1,Male,Married,27.0,Third Party,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
77,Feb,2,Friday,Honda,Urban,Tuesday,Feb,3,Female,Married,47.0,Third Party,Sport,more than 69000,0,12,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
78,Feb,2,Friday,Jaguar,Rural,Tuesday,Feb,3,Female,Single,29.0,Policy Holder,Sport,30000 to 39000,0,16,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
79,Feb,4,Saturday,Toyota,Urban,Friday,Mar,1,Female,Married,33.0,Third Party,Sedan,30000 to 39000,0,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
80,Jan,3,Wednesday,Pontiac,Urban,Wednesday,Jan,3,Male,Married,38.0,Policy Holder,Sport,20000 to 29000,0,13,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
81,Jan,3,Thursday,Mazda,Urban,Friday,Jan,4,Male,Single,37.0,Third Party,Sport,20000 to 29000,0,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
82,Dec,2,Friday,Chevrolet,Urban,Thursday,Apr,3,Male,Married,36.0,Third Party,Sedan,more than 69000,0,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,All Perils
83,Nov,5,Tuesday,Toyota,Urban,Friday,Feb,1,Female,Married,44.0,Policy Holder,Sport,20000 to 29000,0,9,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
84,Dec,1,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,37.0,Policy Holder,Sport,more than 69000,0,6,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
85,Dec,2,Tuesday,Chevrolet,Rural,Tuesday,Mar,1,Male,Married,27.0,Policy Holder,Utility,more than 69000,0,4,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
86,May,4,Tuesday,Toyota,Urban,Wednesday,May,4,Male,Single,27.0,Policy Holder,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
87,May,4,Sunday,Mazda,Urban,Wednesday,May,4,Male,Single,39.0,Third Party,Sedan,20000 to 29000,0,1,400,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
88,Oct,5,Saturday,Pontiac,Urban,Monday,Oct,5,Male,Married,74.0,Third Party,Sedan,30000 to 39000,0,13,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
89,Oct,4,Sunday,Honda,Urban,Monday,Oct,4,Male,Single,23.0,Policy Holder,Sport,20000 to 29000,0,8,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
90,Oct,4,Sunday,Honda,Urban,Tuesday,Oct,4,Female,Single,25.0,Third Party,Sport,more than 69000,0,2,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
91,Jan,2,Wednesday,Pontiac,Urban,Wednesday,Jan,2,Male,Single,38.0,Policy Holder,Sport,20000 to 29000,0,13,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,1994,Liability
92,Jan,2,Thursday,Honda,Urban,Monday,Jan,4,Male,Married,41.0,Policy Holder,Sedan,30000 to 39000,0,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
93,Aug,4,Saturday,Pontiac,Urban,Monday,Aug,5,Male,Married,38.0,Policy Holder,Sedan,20000 to 29000,0,13,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
94,Nov,2,Thursday,Honda,Urban,Friday,Jan,3,Male,Single,34.0,Policy Holder,Sport,more than 69000,1,7,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
95,May,2,Tuesday,Honda,Urban,Thursday,May,2,Male,Married,61.0,Third Party,Sedan,30000 to 39000,0,15,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
96,Nov,2,Friday,Toyota,Urban,Tuesday,Jan,1,Male,Married,38.0,Policy Holder,Sedan,20000 to 29000,1,7,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
97,Jan,3,Thursday,Toyota,Urban,Monday,Jan,4,Male,Single,40.0,Policy Holder,Sedan,less than 20000,0,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
98,Nov,3,Monday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,41.0,Third Party,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
99,Jan,4,Friday,Pontiac,Urban,Monday,Jan,5,Male,Married,36.0,Policy Holder,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
100,Nov,3,Tuesday,Chevrolet,Urban,Wednesday,Jan,2,Male,Married,31.0,Policy Holder,Utility,more than 69000,1,2,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
101,Jan,5,Saturday,Pontiac,Urban,Monday,Jan,5,Female,Married,35.0,Third Party,Sedan,20000 to 29000,0,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
102,Jan,4,Friday,Ford,Urban,Monday,Feb,1,Female,Married,37.0,Policy Holder,Sedan,more than 69000,0,14,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,All Perils
103,Jan,1,Thursday,Mazda,Urban,Tuesday,Jan,2,Male,Married,55.0,Policy Holder,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
104,Jan,1,Tuesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,31.0,Third Party,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
105,Dec,3,Friday,Dodge,Urban,Saturday,Dec,3,Male,Married,28.0,Policy Holder,Sport,more than 69000,0,5,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
106,Aug,1,Monday,Mazda,Urban,Thursday,Aug,1,Male,Married,28.0,Policy Holder,Sedan,20000 to 29000,0,11,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
107,Nov,4,Sunday,Pontiac,Urban,Thursday,Apr,2,Male,Married,44.0,Third Party,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
108,Jun,1,Thursday,Chevrolet,Urban,Thursday,Oct,4,Male,Married,47.0,Policy Holder,Sedan,20000 to 29000,0,1,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
109,Mar,1,Thursday,Honda,Urban,Friday,Mar,1,Male,Married,40.0,Policy Holder,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
110,May,2,Tuesday,Toyota,Urban,Friday,Sep,1,Male,Single,23.0,Policy Holder,Sedan,20000 to 29000,0,4,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
111,May,2,Monday,Pontiac,Urban,Thursday,May,2,Male,Single,31.0,Policy Holder,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
