PolicyNumber,DayOfWeek,WeekOfMonth,Month,Year,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,AccidentArea,NumberOfCars,Fault,PoliceReportFiled,WitnessPresent,Sex,Age,AgeOfPolicyHolder,MaritalStatus,DriverRating,Make,VehicleCategory,VehiclePrice,AgeOfVehicle,BasePolicy,PolicyType,RepNumber,AgentType,Deductible,Days_Policy_Accident,Days_Policy_Claim,NumberOfSuppliments,AddressChange_Claim,PastNumberOfClaims,FraudFound_P
11,Sunday,2,Mar,1994,Wednesday,Mar,3,Urban,1 vehicle,Policy Holder,No,No,Male,71,over 65,Single,3,Mazda,Sedan,more than 69000,more than 7,All Perils,Sedan - All Perils,7,External,400,more than 30,more than 30,none,no change,none,0
12,Monday,5,Mar,1994,Monday,Mar,5,Urban,1 vehicle,Policy Holder,No,No,Male,52,41 to 50,Married,1,Honda,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,none,no change,2 to 4,0
13,Friday,3,Jan,1994,Friday,Jan,3,Urban,1 vehicle,Policy Holder,No,No,Male,28,31 to 35,Married,1,Ford,Sport,more than 69000,7 years,Liability,Sedan - Liability,11,External,400,more than 30,more than 30,none,no change,1,0
14,Friday,5,Jan,1994,Wednesday,Feb,1,Rural,1 vehicle,Third Party,No,No,Male,0,16 to 17,Single,3,Honda,Sedan,more than 69000,new,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,none,no change,none,0
15,Monday,5,Jan,1994,Thursday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Male,61,51 to 65,Married,1,Ford,Sport,more than 69000,more than 7,Liability,Sedan - Liability,3,External,400,more than 30,more than 30,none,no change,none,0
16,Tuesday,4,Aug,1994,Monday,Aug,5,Urban,1 vehicle,Policy Holder,No,No,Male,38,36 to 40,Single,1,Ford,Sport,more than 69000,6 years,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,none,no change,none,0
17,Thursday,4,Apr,1994,Wednesday,May,1,Urban,1 vehicle,Policy Holder,No,No,Male,41,36 to 40,Married,4,Ford,Sedan,more than 69000,7 years,All Perils,Sedan - All Perils,15,External,400,more than 30,more than 30,none,no change,none,0
18,Sunday,5,Jul,1994,Wednesday,Aug,1,Urban,1 vehicle,Third Party,No,No,Female,28,31 to 35,Married,1,Chevrolet,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,6,External,400,more than 30,more than 30,1 to 2,no change,none,0
19,Thursday,4,May,1994,Monday,May,5,Urban,1 vehicle,Policy Holder,No,No,Male,32,31 to 35,Single,1,Pontiac,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,6,External,400,more than 30,more than 30,none,no change,1,0
20,Monday,4,Apr,1994,Tuesday,May,1,Urban,1 vehicle,Third Party,No,No,Male,30,31 to 35,Married,2,Honda,Sport,more than 69000,6 years,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
21,Friday,2,Apr,1994,Tuesday,May,1,Urban,1 vehicle,Policy Holder,No,No,Male,40,36 to 40,Married,1,Mazda,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,3,External,400,more than 30,more than 30,more than 5,no change,1,0
22,Saturday,2,Jan,1994,Monday,Jan,2,Urban,2 vehicles,Policy Holder,No,No,Male,47,41 to 50,Married,2,Chevrolet,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,13,External,400,more than 30,more than 30,none,4 to 8 years,1,0
23,Sunday,3,Aug,1994,Thursday,Aug,5,Urban,1 vehicle,Policy Holder,No,No,Male,63,51 to 65,Married,3,Mazda,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,1 to 2,no change,1,0
24,Saturday,3,Jun,1994,Tuesday,Jun,3,Urban,1 vehicle,Third Party,No,No,Male,31,31 to 35,Single,3,Pontiac,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,3 to 5,no change,none,0
25,Friday,3,Sep,1994,Friday,Sep,3,Urban,1 vehicle,Policy Holder,Yes,No,Male,45,36 to 40,Married,3,Mazda,Sedan,more than 69000,more than 7,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,more than 4,0
26,Monday,3,Mar,1994,Tuesday,Apr,1,Urban,1 vehicle,Policy Holder,No,No,Male,60,51 to 65,Married,4,Pontiac,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,none,no change,more than 4,0
27,Thursday,3,Mar,1994,Thursday,Jun,4,Urban,1 vehicle,Policy Holder,No,No,Male,21,26 to 30,Married,2,Honda,Sedan,30000 to 39000,5 years,Collision,Sedan - Collision,1,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
28,Sunday,3,May,1994,Friday,May,4,Urban,1 vehicle,Policy Holder,No,No,Male,42,36 to 40,Married,3,Accura,Sedan,30000 to 39000,7 years,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
29,Saturday,1,Jul,1994,Tuesday,Sep,4,Urban,1 vehicle,Policy Holder,No,No,Male,0,16 to 17,Single,1,Honda,Sedan,more than 69000,new,All Perils,Sedan - All Perils,9,External,400,more than 30,more than 30,none,no change,none,1
30,Monday,3,May,1994,Wednesday,May,4,Urban,1 vehicle,Policy Holder,No,No,Female,39,36 to 40,Married,3,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,none,no change,none,0
31,Friday,2,Mar,1994,Saturday,Mar,2,Urban,1 vehicle,Policy Holder,No,No,Male,47,41 to 50,Married,1,Dodge,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,2,Internal,400,more than 30,more than 30,none,no change,2 to 4,0
32,Sunday,1,Mar,1994,Tuesday,Mar,2,Urban,1 vehicle,Policy Holder,No,No,Male,0,16 to 17,Single,1,Honda,Sedan,more than 69000,new,Collision,Sedan - Collision,6,External,400,more than 30,more than 30,none,no change,1,0
33,Wednesday,2,Mar,1994,Wednesday,Mar,2,Urban,1 vehicle,Policy Holder,No,No,Male,42,36 to 40,Single,3,Chevrolet,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,2,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
34,Monday,4,Jan,1994,Tuesday,Jan,4,Urban,1 vehicle,Third Party,No,No,Male,30,31 to 35,Single,4,Honda,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,2,External,400,more than 30,more than 30,1 to 2,no change,none,0
35,Tuesday,4,Jan,1994,Wednesday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,42,36 to 40,Married,1,Ford,Utility,more than 69000,7 years,All Perils,Utility - All Perils,12,External,400,more than 30,more than 30,none,no change,2 to 4,0
36,Wednesday,2,Oct,1994,Thursday,Oct,2,Urban,1 vehicle,Third Party,No,No,Male,34,31 to 35,Single,3,Chevrolet,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
37,Tuesday,2,Oct,1994,Thursday,Oct,3,Urban,1 vehicle,Third Party,No,No,Male,30,31 to 35,Married,4,Honda,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,11,External,400,more than 30,more than 30,more than 5,no change,none,0
38,Friday,2,Sep,1994,Friday,Sep,3,Urban,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Single,2,Mazda,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,more than 5,no change,none,0
39,Tuesday,4,Nov,1994,Thursday,Nov,4,Urban,1 vehicle,Policy Holder,No,No,Male,55,41 to 50,Married,1,Honda,Sport,more than 69000,more than 7,Collision,Sport - Collision,12,External,400,more than 30,more than 30,none,no change,none,0
40,Thursday,4,Nov,1994,Tuesday,Jan,1,Urban,1 vehicle,Policy Holder,No,No,Male,35,31 to 35,Married,3,Toyota,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,1,External,400,more than 30,more than 30,1 to 2,no change,none,0
41,Wednesday,4,Mar,1994,Wednesday,Apr,1,Urban,1 vehicle,Policy Holder,No,No,Female,35,31 to 35,Married,1,Chevrolet,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,11,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
42,Friday,3,Mar,1994,Wednesday,Mar,4,Urban,3 to 4,Policy Holder,No,No,Male,44,36 to 40,Married,1,Pontiac,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,15,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
43,Monday,1,Jul,1994,Monday,Jul,1,Urban,2 vehicles,Policy Holder,No,No,Female,42,36 to 40,Single,4,Toyota,Sport,20000 to 29000,4 years,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,none,4 to 8 years,none,0
44,Tuesday,3,Jan,1994,Monday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,41,36 to 40,Married,2,Honda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
45,Wednesday,3,Jan,1994,Wednesday,Jan,4,Urban,1 vehicle,Third Party,No,No,Male,72,over 65,Married,1,Toyota,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,16,External,400,more than 30,more than 30,none,no change,none,0
46,Wednesday,2,Feb,1994,Thursday,Feb,2,Urban,1 vehicle,Third Party,No,No,Female,29,31 to 35,Married,3,Pontiac,Sedan,less than 20000,5 years,All Perils,Sedan - All Perils,8,External,400,more than 30,more than 30,none,no change,2 to 4,0
47,Thursday,2,Feb,1994,Monday,Feb,3,Urban,1 vehicle,Third Party,No,No,Male,32,31 to 35,Single,4,Pontiac,Sedan,30000 to 39000,6 years,Collision,Sedan - Collision,9,Internal,400,more than 30,more than 30,none,no change,none,0
48,Thursday,4,Nov,1994,Friday,Nov,4,Urban,1 vehicle,Policy Holder,No,No,Male,37,36 to 40,Married,3,Mazda,Sport,30000 to 39000,5 years,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
49,Thursday,3,Apr,1994,Thursday,May,1,Urban,1 vehicle,Policy Holder,No,No,Female,37,36 to 40,Married,1,Chevrolet,Sport,more than 69000,6 years,Liability,Sedan - Liability,10,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
50,Friday,3,Apr,1994,Tuesday,Apr,3,Urban,1 vehicle,Policy Holder,No,No,Male,59,51 to 65,Married,4,Pontiac,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
51,Friday,4,May,1994,Friday,May,4,Urban,1 vehicle,Policy Holder,No,No,Male,49,41 to 50,Married,2,Pontiac,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,14,External,400,more than 30,more than 30,none,no change,more than 4,0
52,Wednesday,4,Jun,1994,Friday,Jun,4,Urban,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Married,3,Pontiac,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,4,External,500,more than 30,more than 30,3 to 5,2 to 3 years,2 to 4,0
53,Sunday,3,Jul,1994,Wednesday,Jan,4,Rural,1 vehicle,Policy Holder,No,No,Male,21,26 to 30,Married,4,Honda,Sport,more than 69000,4 years,Collision,Sport - Collision,4,External,400,more than 30,more than 30,3 to 5,no change,none,1
54,Saturday,4,Jul,1994,Wednesday,Aug,2,Urban,1 vehicle,Policy Holder,No,No,Male,50,41 to 50,Married,1,Honda,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,13,External,400,more than 30,more than 30,3 to 5,no change,none,1
55,Tuesday,4,Jun,1994,Tuesday,Jun,4,Urban,1 vehicle,Policy Holder,No,No,Male,45,36 to 40,Single,1,Pontiac,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,8,External,400,more than 30,more than 30,1 to 2,no change,1,0
56,Monday,3,Dec,1994,Wednesday,Dec,3,Urban,1 vehicle,Third Party,No,No,Male,49,41 to 50,Married,4,Mazda,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,7,External,400,more than 30,more than 30,3 to 5,no change,none,0
57,Friday,4,Jun,1994,Thursday,Jun,5,Urban,1 vehicle,Policy Holder,No,No,Male,30,31 to 35,Single,4,Honda,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,5,External,400,more than 30,more than 30,none,no change,2 to 4,0
58,Friday,2,Nov,1994,Monday,Nov,2,Urban,1 vehicle,Policy Holder,No,No,Male,37,36 to 40,Single,3,Accura,Sedan,more than 69000,7 years,Collision,Sedan - Collision,11,External,400,more than 30,more than 30,none,no change,2 to 4,0
59,Monday,1,May,1994,Wednesday,May,4,Rural,1 vehicle,Policy Holder,No,No,Male,0,16 to 17,Single,4,Honda,Sport,more than 69000,new,Liability,Sedan - Liability,15,External,400,more than 30,more than 30,none,no change,none,0
60,Wednesday,1,May,1994,Monday,May,2,Urban,1 vehicle,Policy Holder,No,No,Female,27,31 to 35,Single,4,Chevrolet,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,1 to 2,no change,none,0
61,Monday,1,Nov,1994,Monday,Nov,3,Urban,1 vehicle,Policy Holder,No,No,Male,30,31 to 35,Single,4,Toyota,Sedan,30000 to 39000,5 years,All Perils,Sedan - All Perils,5,External,400,more than 30,more than 30,none,no change,none,0
62,Tuesday,2,Sep,1994,Friday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,49,41 to 50,Married,4,Pontiac,Utility,40000 to 59000,more than 7,Collision,Utility - Collision,6,External,400,more than 30,more than 30,none,no change,none,0
63,Sunday,4,Nov,1994,Friday,Jan,3,Urban,1 vehicle,Third Party,No,No,Male,0,16 to 17,Single,2,Honda,Sedan,more than 69000,new,All Perils,Sedan - All Perils,3,External,400,more than 30,more than 30,none,no change,2 to 4,0
64,Monday,5,Feb,1994,Tuesday,Mar,1,Urban,2 vehicles,Policy Holder,No,No,Male,26,31 to 35,Married,3,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,more than 5,4 to 8 years,2 to 4,0
65,Friday,1,Dec,1994,Tuesday,Dec,2,Urban,1 vehicle,Policy Holder,No,No,Male,48,41 to 50,Single,1,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,1,External,400,more than 30,more than 30,none,no change,none,0
66,Friday,4,Dec,1994,Monday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Male,31,31 to 35,Single,3,Mazda,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,6,External,400,more than 30,more than 30,none,no change,none,0
67,Friday,3,Mar,1994,Friday,Mar,3,Urban,1 vehicle,Third Party,No,No,Male,40,36 to 40,Single,2,Mercury,Sedan,more than 69000,7 years,Collision,Sedan - Collision,16,External,400,more than 30,more than 30,more than 5,no change,1,0
68,Thursday,4,Aug,1994,Monday,Aug,5,Urban,1 vehicle,Policy Holder,No,No,Male,65,51 to 65,Married,1,Mazda,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
69,Sunday,1,Jan,1994,Tuesday,Jan,1,Urban,1 vehicle,Policy Holder,No,No,Male,64,51 to 65,Married,1,Toyota,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,none,no change,1,0
70,Sunday,1,Jan,1994,Wednesday,Jan,1,Urban,1 vehicle,Policy Holder,No,No,Male,55,41 to 50,Married,2,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
71,Sunday,1,Jan,1994,Wednesday,Jan,1,Urban,1 vehicle,Policy Holder,No,No,Male,44,36 to 40,Single,1,Honda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,16,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
72,Tuesday,1,Jan,1994,Thursday,Jan,1,Urban,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Married,3,Mazda,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,1 to 2,no change,1,0
73,Thursday,4,Sep,1994,Monday,Jan,5,Urban,1 vehicle,Third Party,No,No,Female,28,31 to 35,Single,3,Chevrolet,Sedan,20000 to 29000,5 years,Collision,Sedan - Collision,5,External,400,15 to 30,more than 30,none,no change,1,0
74,Monday,1,Jan,1994,Tuesday,Jan,1,Urban,1 vehicle,Third Party,No,No,Male,47,41 to 50,Married,2,Honda,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,more than 5,no change,1,0
75,Saturday,5,Apr,1994,Tuesday,May,1,Urban,1 vehicle,Third Party,No,No,Male,60,51 to 65,Married,3,Mazda,Sedan,more than 69000,7 years,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
76,Saturday,1,Aug,1994,Wednesday,Aug,4,Urban,1 vehicle,Third Party,No,No,Male,33,31 to 35,Married,4,Ford,Sedan,30000 to 39000,6 years,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,none,no change,more than 4,0
77,Tuesday,4,Oct,1994,Monday,Jan,1,Urban,1 vehicle,Third Party,No,No,Male,27,31 to 35,Married,3,Chevrolet,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,none,no change,none,0
78,Friday,2,Feb,1994,Tuesday,Feb,3,Urban,1 vehicle,Third Party,No,No,Female,47,41 to 50,Married,3,Honda,Sport,more than 69000,more than 7,Collision,Sport - Collision,12,External,400,more than 30,more than 30,none,no change,none,0
79,Friday,2,Feb,1994,Tuesday,Feb,3,Rural,1 vehicle,Policy Holder,No,No,Female,29,31 to 35,Single,1,Jaguar,Sport,30000 to 39000,5 years,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
80,Saturday,4,Feb,1994,Friday,Mar,1,Urban,1 vehicle,Third Party,No,No,Female,33,31 to 35,Married,1,Toyota,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,10,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
81,Wednesday,3,Jan,1994,Wednesday,Jan,3,Urban,1 vehicle,Policy Holder,No,No,Male,38,36 to 40,Married,4,Pontiac,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,none,no change,2 to 4,0
82,Thursday,3,Jan,1994,Friday,Jan,4,Urban,1 vehicle,Third Party,No,No,Male,37,36 to 40,Single,2,Mazda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,6,External,400,more than 30,more than 30,none,no change,1,0
83,Friday,2,Dec,1994,Thursday,Apr,3,Urban,3 to 4,Third Party,No,No,Male,36,36 to 40,Married,4,Chevrolet,Sedan,more than 69000,7 years,All Perils,Sedan - All Perils,13,External,400,more than 30,more than 30,none,no change,none,0
84,Tuesday,5,Nov,1994,Friday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Female,44,36 to 40,Married,4,Toyota,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,9,External,400,more than 30,more than 30,1 to 2,no change,none,0
85,Wednesday,1,Dec,1994,Monday,Jan,1,Urban,2 vehicles,Policy Holder,No,No,Male,0,16 to 17,Single,2,Honda,Sport,more than 69000,new,Liability,Sedan - Liability,6,External,400,more than 30,more than 30,none,4 to 8 years,more than 4,0
86,Tuesday,2,Dec,1994,Tuesday,Mar,1,Rural,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Married,4,Chevrolet,Utility,more than 69000,6 years,Liability,Utility - Liability,4,External,400,more than 30,more than 30,more than 5,no change,1,0
87,Tuesday,4,May,1994,Wednesday,May,4,Urban,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Single,3,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,14,External,400,more than 30,more than 30,more than 5,no change,1,0
88,Sunday,4,May,1994,Wednesday,May,4,Urban,1 vehicle,Third Party,No,No,Male,39,36 to 40,Single,2,Mazda,Sedan,20000 to 29000,4 years,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
89,Saturday,5,Oct,1994,Monday,Oct,5,Urban,1 vehicle,Third Party,No,No,Male,74,over 65,Married,4,Pontiac,Sedan,30000 to 39000,7 years,All Perils,Sedan - All Perils,13,External,400,more than 30,more than 30,3 to 5,no change,none,0
90,Sunday,4,Oct,1994,Monday,Oct,4,Urban,1 vehicle,Policy Holder,No,No,Male,23,26 to 30,Single,2,Honda,Sport,20000 to 29000,4 years,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,none,no change,2 to 4,0
91,Sunday,4,Oct,1994,Tuesday,Oct,4,Urban,1 vehicle,Third Party,No,No,Female,25,26 to 30,Single,1,Honda,Sport,more than 69000,6 years,Collision,Sport - Collision,2,External,400,more than 30,more than 30,more than 5,no change,none,0
92,Wednesday,2,Jan,1994,Wednesday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Male,38,36 to 40,Single,2,Pontiac,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,3 to 5,1 year,more than 4,0
93,Thursday,2,Jan,1994,Monday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,41,36 to 40,Married,1,Honda,Sedan,30000 to 39000,7 years,All Perils,Sedan - All Perils,16,External,400,more than 30,more than 30,none,no change,2 to 4,0
94,Saturday,4,Aug,1994,Monday,Aug,5,Urban,1 vehicle,Policy Holder,No,No,Male,38,36 to 40,Married,3,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,13,External,700,more than 30,more than 30,more than 5,no change,2 to 4,0
95,Thursday,2,Nov,1994,Friday,Jan,3,Urban,1 vehicle,Policy Holder,No,No,Male,34,31 to 35,Single,3,Honda,Sport,more than 69000,7 years,Collision,Sport - Collision,7,External,400,more than 30,more than 30,3 to 5,no change,none,1
96,Tuesday,2,May,1994,Thursday,May,2,Urban,1 vehicle,Third Party,No,No,Male,61,51 to 65,Married,4,Honda,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,more than 5,no change,none,0
97,Friday,2,Nov,1994,Tuesday,Jan,1,Urban,1 vehicle,Policy Holder,No,No,Male,38,36 to 40,Married,2,Toyota,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,none,no change,1,1
98,Thursday,3,Jan,1994,Monday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,40,36 to 40,Single,4,Toyota,Sedan,less than 20000,7 years,All Perils,Sedan - All Perils,4,External,400,more than 30,more than 30,none,no change,1,0
99,Monday,3,Nov,1994,Wednesday,Jan,4,Urban,1 vehicle,Third Party,No,No,Male,41,36 to 40,Married,4,Pontiac,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,2 to 4,0
100,Friday,4,Jan,1994,Monday,Jan,5,Urban,1 vehicle,Policy Holder,No,No,Male,36,36 to 40,Married,1,Pontiac,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,10,External,400,more than 30,more than 30,none,no change,1,0
101,Tuesday,3,Nov,1994,Wednesday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Male,31,31 to 35,Married,1,Chevrolet,Utility,more than 69000,7 years,All Perils,Utility - All Perils,2,External,400,more than 30,more than 30,more than 5,no change,more than 4,1
102,Saturday,5,Jan,1994,Monday,Jan,5,Urban,1 vehicle,Third Party,No,No,Female,35,31 to 35,Married,4,Pontiac,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,10,External,400,more than 30,more than 30,none,no change,1,0
103,Friday,4,Jan,1994,Monday,Feb,1,Urban,1 vehicle,Policy Holder,Yes,No,Female,37,36 to 40,Married,2,Ford,Sedan,more than 69000,6 years,All Perils,Sedan - All Perils,14,External,500,more than 30,more than 30,3 to 5,no change,2 to 4,0
104,Thursday,1,Jan,1994,Tuesday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Male,55,41 to 50,Married,3,Mazda,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,14,External,400,more than 30,more than 30,more than 5,no change,none,0
105,Tuesday,1,Jan,1994,Thursday,Jan,1,Urban,1 vehicle,Third Party,No,No,Male,31,31 to 35,Single,4,Pontiac,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
106,Friday,3,Dec,1994,Saturday,Dec,3,Urban,2 vehicles,Policy Holder,No,No,Male,28,31 to 35,Married,1,Dodge,Sport,more than 69000,7 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,1 to 2,4 to 8 years,none,0
